S/N,Code,Description,Table,Classification,Cleaned_Description
63,SI703P,"PELVIS, MALIGNANT, SECOND LOOK LAPAROTOMY",4A,Existing,pelvis malignant second look laparotomy
64,SI700U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITH GENERAL ANESTHESIA)",1C,Existing,uteruscervix hysteroscopy diagnostic general anesthesia
65,SI701U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC (WITHOUT ANAESTHESIA)",1A,Existing,uteruscervix hysteroscopy diagnostic without anaesthesia
66,SI702U,"UTERUS, BENIGN CONDITIONS, TOTAL ABDOMINAL HYSTERECTOMY WITH/WITHOUT SALPINGO- OOPHORECTOMY AND PELVIC FLOOR REPAIR (COMBINED OPERATION)",4C,Existing,uterus benign condition total abdominal hysterectomy withwithout salpingo oophorectomy pelvic floor repair combined operation
67,SI703U,"UTERUS, FETAL SURGERY",3B,Existing,uterus fetal surgery
68,SI704U,"UTERUS, FOETOSCOPY",4A,Existing,uterus foetoscopy
69,SI705U,"UTERUS, ELONGATED CERVIX, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus elongated cervix cystocoele rectocoele amputation cervix anterior repair posterior repair
70,SI706U,"UTERUS, ENDOMETRIAL ABLATION (BALLOON)",2B,Existing,uterus endometrial ablation balloon
71,SI707U,"UTERUS, ENDOMETRIAL ABLATION (HYSTEROSCOPIC)",2C,Existing,uterus endometrial ablation hysteroscopic
72,SI709U,"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE, <5CM)9",3C,Existing,uterus fibroid myomectomy simple 5cm9
73,SI710U,"UTERUS, FIBROIDS, UTERINE ARTERY EMBOLIZATION",3C,Existing,uterus fibroid uterine artery embolization
74,SI731U,"UTERUS, HYSTERECTOMY, COMPLICATED (BROAD LIGAMENT , SEVERE ENDOMETRIOSIS, FROZEN PELVIS)",5C,New,uterus hysterectomy complicated broad ligament severe endometriosis frozen pelvis
75,SI712U,"UTERUS, SUBTOTAL/TOTAL HYSTERECTOMY, >12WKS",5A,Descriptor change,uterus subtotaltotal hysterectomy 12wks
76,SI713U,"UTERUS, SUBTOTAL/TOTAL HYSTERECTOMY, <12WKS",4C,"Uptable, Descriptor change",uterus subtotaltotal hysterectomy 12wks
77,SI714U,"UTERUS, INTRAUTERINE INSEMINATION",MSP,Existing,uterus intrauterine insemination
78,SI715U,"UTERUS, MIS ABLATION OF ENDOMETRIOSIS (SIMPLE) (AS SINGLE PROCEDURE, NOT INVOLVING RECTUM, URETER)",3C,Existing,uterus mi ablation endometriosis simple single procedure involving rectum ureter
79,SI716U,"UTERUS, LYSIS OF ASHERMAN'S (COMPLICATED), HYSTEROSCOPIC",3A,Existing,uterus lysis ashermans complicated hysteroscopic
80,SI717U,"UTERUS, LYSIS OF ASHERMAN'S (SIMPLE), HYSTEROSCOPIC",2C,Existing,uterus lysis ashermans simple hysteroscopic
81,SI718U,"UTERUS/VAGINA, MIS ASSISTED VAGINAL HYSTERECTOMY (LAVH) WITH/WITHOUT PELVIC FLOOR REPAIR (PFR)",4B,Existing,uterusvagina mi assisted vaginal hysterectomy lavh withwithout pelvic floor repair pfr
82,SI719U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTEIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus prolapse cystocoele rectocoele amputation cervix vaginal sacrospinous ligament hysteropexy anteior repair posterior repair
83,SI720U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, TRANSOBTURATOR MESH + TRANSSACROSPINOUS LIGAMENT MESH",4B,Existing,uterus prolapse cystocoele rectocoele transobturator mesh transsacrospinous ligament mesh
84,SI721U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, VAGINAL HYSTERECTOMY + ANTERIOR REPAIR + BILATERAL SALPINGO-OOPHORECTOMY ± POSTERIOR REPAIR",4B,Existing,uterus prolapse cystocoele rectocoele vaginal hysterectomy anterior repair bilateral salpingooophorectomy posterior repair
85,SI722U,"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, VAGINAL SACROSPINOUS LIGAMENT HYSTEROPEXY + ANTERIOR REPAIR + POSTERIOR REPAIR",4B,Existing,uterus prolapse cystocoele rectocoele vaginal sacrospinous ligament hysteropexy anterior repair posterior repair
86,SI723U,"UTERUS, PROLAPSE, VAGINAL HYSTERECTOMY + BILATERAL SALPINGO-OOPHORECTOMY",4B,Existing,uterus prolapse vaginal hysterectomy bilateral salpingooophorectomy
87,SI724U,"UTERUS/CERVIX, HYSTEROSCOPIC CANNULATION",2B,Existing,uteruscervix hysteroscopic cannulation
88,SI725U,"UTERUS/CERVIX, HYSTEROSCOPY, DIAGNOSTIC, D&C",2B,Existing,uteruscervix hysteroscopy diagnostic dc
89,SI726U,"UTERUS/VAGINA, MIS RECONSTRUCTION OF FROZEN PELVIS/LATERAL PELVIC WALL DISSECTION; EXTIRPATION OF RECTOVAGINAL ENDOMETRIOSIS",5C,Existing,uterusvagina mi reconstruction frozen pelvislateral pelvic wall dissection extirpation rectovaginal endometriosis
90,SI727U,"UTERUS, FIBROID/ADENOMYOSIS, HIGHLY INTENSIVE FOCUSED ULTRASOUND",3C,New,uterus fibroidadenomyosis highly intensive focused ultrasound
91,SI728U,EXCISION OR ABLATION OF ADENOMYOMA/ ADENOMYOSIS (SIMPLE <5CM),4C,New,excision ablation adenomyoma adenomyosis simple 5cm
92,SI729U,EXCISION OR ABLATION OF ADENOMYOMA/ ADENOMYOSIS (COMPLICATED >5CM),5A,New,excision ablation adenomyoma adenomyosis complicated 5cm
93,SI730U,UTEROSACRAL LIGAMENT SUSPENSION/HUL,4A,New,uterosacral ligament suspensionhul
94,SI800U,"URETHRA, CARUNCLE/POLYP, EXCISION/LASER VAPORISATION",1C,Existing,urethra carunclepolyp excisionlaser vaporisation
95,SI801U,"URETHRA, STENOSIS, DILATATION",1A,Existing,urethra stenosis dilatation
96,SI806U,"UTERUS, CONGENITAL ORGAN ABNORMALITY, PLASTIC REPAIR INCLUDING METROPLASTY",6A,Existing,uterus congenital organ abnormality plastic repair including metroplasty
97,SI807U,"UTERUS, CONTRACEPTION, INTRAUTERINE CONTRACEPTIVE DEVICE INSERTION",MSP,Existing,uterus contraception intrauterine contraceptive device insertion
98,SI809U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL UNDER GENERAL ANESTHESIA",2A,Existing,uterus displaced intrauterine contraceptive device removal general anesthesia
99,SI810U,"UTERUS, DISPLACED INTRAUTERINE CONTRACEPTIVE DEVICE, REMOVAL WITHOUT GENERAL ANAESTHESIA",MSP,Existing,uterus displaced intrauterine contraceptive device removal without general anaesthesia
100,SI811U,"UTERUS, ENDOMETRIAL, BIOPSY WITHOUT GENERAL ANAESTHESIA",MSP,Existing,uterus endometrial biopsy without general anaesthesia
101,SI813U,"UTERUS, FETAL DISORDER, ULTRASOUND GUIDED FETAL BLOOD SAMPLING/CORDOCENTESIS",2C,Existing,uterus fetal disorder ultrasound guided fetal blood samplingcordocentesis
102,SI814U,"UTERUS, FETAL DISORDER, ULTRASOUND GUIDED FETAL THERAPY",4A,Existing,uterus fetal disorder ultrasound guided fetal therapy
103,SI815U,"UTERUS, FIBROIDS, MYOMECTOMY (COMPLICATED E.G. >5CM, MULTIPLE >2, CHALLENGING LOCATION)10",5A,Existing,uterus fibroid myomectomy complicated eg 5cm multiple 2 challenging location10
104,SI817U,"UTERUS, GENETIC ABNORMALITY, ULTRASOUND GUIDED CHORIONIC BIOPSY",1C,Existing,uterus genetic abnormality ultrasound guided chorionic biopsy
105,SI818U,"UTERUS, GENETIC ABNORMALITY/FETAL MATURITY, WITH/WITHOUT ULTRASOUND GUIDED AMNIOCENTESIS",1C,Existing,uterus genetic abnormalityfetal maturity withwithout ultrasound guided amniocentesis
106,SI819U,"UTERUS, GRAVID, EVACUATION (COMPLICATED)",2B,Existing,uterus gravid evacuation complicated
107,SI820U,"UTERUS, GRAVID, EVACUATION (SIMPLE)",2A,Existing,uterus gravid evacuation simple
108,SI821U,"UTERUS, GRAVID, HYSTERECTOMY",4A,Existing,uterus gravid hysterectomy
109,SI822U,"UTERUS, GRAVID, HYSTEROTOMY",4A,Existing,uterus gravid hysterotomy
110,SI823U,"UTERUS, INVERSION, REPOSITIONING",3C,Existing,uterus inversion repositioning
111,SI824U,"UTERUS, MALIGNANT CONDITION, ANTERIOR PELVIC EXENTERATION",6B,Existing,uterus malignant condition anterior pelvic exenteration
112,SI825U,"UTERUS, MALIGNANT CONDITION, MODIFIED RADICAL HYSTERECTOMY WITH/WITHOUT LYMPHADENECTOMY",6A,"Uptable, Descriptor change",uterus malignant condition modified radical hysterectomy withwithout lymphadenectomy
113,SI826U,"UTERUS, MALIGNANT CONDITION, POSTERIOR PELVIC EXENTERATION",6B,Existing,uterus malignant condition posterior pelvic exenteration
114,SI827U,"UTERUS, MALIGNANT CONDITION, TOTAL HYSTERECTOMY, WITH /WITHOUT LYMPH NODE DISSECTION",5A,Descriptor change,uterus malignant condition total hysterectomy without lymph node dissection
115,SI829U,"UTERUS, MALIGNANT CONDITIONS, TOTAL PELVIC EXENTERATION",7C,Existing,uterus malignant condition total pelvic exenteration
116,SI830U,"UTERUS, MALIGNANT CONDITIONS, RADICAL HYSTERECTOMY INCLUDING PELVIC LYMPHADENECTOMY",6B,Descriptor change,uterus malignant condition radical hysterectomy including pelvic lymphadenectomy
117,SI831U,"UTERUS, PERFORATION, REPAIR",3C,Existing,uterus perforation repair
118,SI832U,"UTERUS, PREGNANCY AND MULTIPARITY, UNCOMPLICATED CAESAREAN SECTION AND TUBAL LIGATION",4B,Existing,uterus pregnancy multiparity uncomplicated caesarean section tubal ligation
119,SI833U,"UTERUS, PREGNANCY, COMPLICATED VAGINAL DELIVERY (E.G TWINS, BREECH, INSTRUMENTAL DELIVERY, VBAC)",3A,Descriptor change,uterus pregnancy complicated vaginal delivery eg twin breech instrumental delivery vbac
120,SI834U,"UTERUS, PREGNANCY, UNCOMPLICATED CAESAREAN SECTION",4A,Existing,uterus pregnancy uncomplicated caesarean section
121,SI835U,"UTERUS, PREGNANCY, CAESAREAN SECTION WITH HYSTERECTOMY",5C,Existing,uterus pregnancy caesarean section hysterectomy
122,SI836U,"UTERUS, PREGNANCY, VAGINAL DELIVERY (WITH OR WITHOUT EPISIOTOMY REPAIR)",2B,Existing,uterus pregnancy vaginal delivery without episiotomy repair
123,SI837U,"UTERUS, PROLAPSE, VAGINAL HYSTERECTOMY",4A,Existing,uterus prolapse vaginal hysterectomy
124,SI838U,"UTERUS, RETAINED PLACENTA, MANUAL REMOVAL",1B,Descriptor change,uterus retained placenta manual removal
125,SI839U,"UTERUS, RETROVERSION, VENTROSUSPENSION",3A,Existing,uterus retroversion ventrosuspension
126,SI840U,"UTERUS, RUPTURED, REPAIR (COMPLICATED)",4A,Existing,uterus ruptured repair complicated
127,SI841U,"UTERUS, RUPTURED, REPAIR (SIMPLE)",3B,Existing,uterus ruptured repair simple
128,SI842U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH COLPOSCOPY/BIOPSY/DIATHERMY/ CRYOSURGERY/LASER THERAPY OF CERVIX",2C,Existing,uterus various lesion curettage colposcopybiopsydiathermy cryosurgerylaser therapy cervix
129,SI843U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH/WITHOUT DILATATION",2A,Existing,uterus various lesion curettage withwithout dilatation
130,SI844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED'11)",4B,Existing,uterus pregnancy complicated caesarean section see footnote definition complicated11
131,SI845U,"UTERUS, PREGNANCY AND MULTIPARITY, COMPLICATED CAESAREAN SECTION AND TUBAL LIGATION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED')",4C,Existing,uterus pregnancy multiparity complicated caesarean section tubal ligation see footnote definition complicated
132,SI700V,"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION",4A,Existing,vagina cystocoele paravaginal defect repair abdominal burch colposuspension
133,SI701V,"VAGINA, CYSTOCOELE, RECTOCOELE, ANTERIOR REPAIR/KELLY'S OPERATION + POSTERIOR REPAIR",3B,Existing,vagina cystocoele rectocoele anterior repairkellys operation posterior repair
134,SI702V,"VAGINA, CYSTOCOELE, TRANSOBTURATOR MESH",3B,Existing,vagina cystocoele transobturator mesh
135,SI703V,"VAGINA, ABDOMINAL SACROCOLPOPEXY + PARAVAGINAL DEFECT REPAIR/BURCH COLPOSUSPENSION + POSTERIOR REPAIR",5C,"Uptable, Descriptor change,",vagina abdominal sacrocolpopexy paravaginal defect repairburch colposuspension posterior repair
136,SI704V,"VAGINA, SACROSPINOUS LIGAMENT/ILIOCOCCYGEUS FIXATION + ANTERIOR REPAIR + POSTERIOR REPAIR",4A,Descriptor change,vagina sacrospinous ligamentiliococcygeus fixation anterior repair posterior repair
137,SI705V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA COMPLETE/UPPER VAGINECTOMY",4B,Existing,vagina intraepithelial neoplasia completeupper vaginectomy
138,SI706V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA VAGINECTOMY (PARTIAL)",3C,Existing,vagina intraepithelial neoplasia vaginectomy partial
139,SI707V,"VAGINA, MID-URETHRAL TAPE/SLING (± CYSTOSCOPY) + ANTERIOR REPAIR + POSTERIOR REPAIR",5A,"Uptable, Descriptor change",vagina midurethral tapesling cystoscopy anterior repair posterior repair
140,SI710V,"VAGINA, TENSION FREE VAGINAL TAPE (TVT/TVTO)",4A,Existing,vagina tension free vaginal tape tvttvto
141,SI711V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITH COLOSTOMY",5B,Existing,vaginarectum recto vaginal fistula complex rectaltransperineal approach colostomy
142,SI712V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITHOUT COLOSTOMY",4C,Existing,vaginarectum recto vaginal fistula complex rectaltransperineal approach without colostomy
143,SI713V,VAGINAL HYSTERECTOMY + ANTERIOR REPAIR +/- POSTERIOR REPAIR,5A,Uptable,vaginal hysterectomy anterior repair posterior repair
144,SI714V,"VAGINAL SEPTUM, EXCISION",2A,Existing,vaginal septum excision
145,SI715V,"VULVA, LABIAL ABNORMALITY, HYMENOPLASTY",1B,Existing,vulva labial abnormality hymenoplasty
146,SI716V,"VULVA, MALIGNANT CONDITION RADICAL WIDE LOCAL EXCISION WITH SKIN FLAP CLOSURE",4B,Descriptor change,vulva malignant condition radical wide local excision skin flap closure
147,SI717V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY + GROIN + PELVIC NODE DISSECTION",6C,Existing,vulva malignant condition radical vulvectomy groin pelvic node dissection
148,SI718V,"VULVA, MALIGNANT CONDITION, RADICAL WIDE EXCISION (E.G. RADICAL WIDE LOCAL EXCISION, RADICAL HEMI-VULVECTOMY) + GROIN DISSECTION",5C,Descriptor change,vulva malignant condition radical wide excision eg radical wide local excision radical hemivulvectomy groin dissection
149,SI719V,"VULVA, MALIGNANT CONDITION, RADICAL WIDE LOCAL EXCISION",3C,Descriptor change,vulva malignant condition radical wide local excision
150,SI720V,"VULVA/VAGINA, VARIOUS LESIONS, COLPOSCOPY AND LASER VAPORISATION",1B,Existing,vulvavagina various lesion colposcopy laser vaporisation
151,SI800V,"VAGINA, ATRESIA, VAGINOPLASTY",4B,Existing,vagina atresia vaginoplasty
152,SI801V,"VAGINA, ATRESIA/STENOSIS, DILATATION",1B,Existing,vagina atresiastenosis dilatation
153,SI802V,"VAGINA, CYSTOCOELE, ANTERIOR REPAIR/KELLY'S OPERATION",3B,Existing,vagina cystocoele anterior repairkellys operation
154,SI803V,"VAGINA, ENTEROCOELE, REPAIR + VAGINAL VAULT SUSPENSION (ABDOMINAL)",5A,"Descriptor
change",vagina enterocoele repair vaginal vault suspension abdominal
155,SI804V,"VAGINA, FISTULA, REPAIR (COMPLICATED/MULTIPLE)",5A,Existing,vagina fistula repair complicatedmultiple
156,SI805V,"VAGINA, FISTULA, REPAIR (SIMPLE)",4A,Existing,vagina fistula repair simple
157,SI806V,"VAGINA, FOREIGN BODY, REMOVAL",1A,Existing,vagina foreign body removal
158,SI807V,"VAGINA, INCARCERATED PESSARY, REMOVAL",2B,Existing,vagina incarcerated pessary removal
159,SI808V,"VAGINA, LACERATIONS (COMPLEX AND INVOLVING ANAL SPHINCTER), REPAIR UNDER REGIONAL OR GENERAL ANAESTHESIA (INCLUDING THOSE SUSTAINED DURING DELIVERY)",2C,Descriptor change,vagina laceration complex involving anal sphincter repair regional general anaesthesia including sustained delivery
160,SI809V,"VAGINA, LACERATIONS (SIMPLE), DEBRIDEMENT/SUTURE (EXCLUDES EPISIOTOMY)",1C,Existing,vagina laceration simple debridementsuture excludes episiotomy
161,SI810V,"VAGINA, MALIGNANT CONDITION, VAGINECTOMY",4B,Existing,vagina malignant condition vaginectomy
162,SI811V,"VAGINA, PELVIC ABSCESS, COLPOTOMY AND DRAINAGE",2C,Existing,vagina pelvic abscess colpotomy drainage
163,SI812V,"VAGINA, PROLAPSE, COLPORRHAPHY",4A,Existing,vagina prolapse colporrhaphy
164,SI813V,"VAGINA, PROLAPSE, INSERTION OF PESSARY",MSP,Existing,vagina prolapse insertion pessary
165,SI814V,"VAGINA, PROLAPSE, OBLITERATION (COLPOCLEISIS)",3B,Existing,vagina prolapse obliteration colpocleisis
166,SI815V,"VAGINA, RECTOCOELE, POSTERIOR REPAIR",2C,Existing,vagina rectocoele posterior repair
167,SI816V,"VAGINA, SIMPLE TUMOR/GARTNER'S CYST, REMOVAL WITH BIOPSY",2B,Existing,vagina simple tumorgartners cyst removal biopsy
168,SI817V,"VAGINA, STRESS INCONTINENCE, KELLY'S OPERATION +/- ANTERIOR REPAIR.",3C,Existing,vagina stress incontinence kelly operation anterior repair
169,SI818V,"VAGINA, STRESS INCONTINENCE, ABDOMINAL /COMBINED ABDOMINOVAGINAL SLING OPERATIONS ( EG. WATKINS INTERPOSITION, ALDRIDGE SLING AND OTHER PUBOVAGINAL SLING OPERATIONS) +/- CYSTOSCOPY",4B,Existing,vagina stress incontinence abdominal combined abdominovaginal sling operation eg watkins interposition aldridge sling pubovaginal sling operation cystoscopy
170,SI819V,"VAGINA, VARIOUS LESIONS, BIOPSY",1A,Existing,vagina various lesion biopsy
171,SI820V,"VULVA, ABSCESS, INCISION",1B,Existing,vulva abscess incision
172,SI821V,"VULVA, ATRESIA/ABSENCE, DETACHMENT OF SKIN PEDICLE AFTER VAGINOPLASTY",2B,Existing,vulva atresiaabsence detachment skin pedicle vaginoplasty
173,SI822V,"VULVA, BARTHOLIN CYST, EXCISION WITH/WITHOUT USE OF LASER",2B,Existing,vulva bartholin cyst excision withwithout use laser
174,SI823V,"VULVA, BARTHOLIN CYST, INCISION/MARSUPIALIZATION WITH OR WITHOUT USE OF LASER",1B,Existing,vulva bartholin cyst incisionmarsupialization without use laser
175,SI824V,"VULVA, CHRONIC DYSTROPHY, BIOPSY",MSP,Existing,vulva chronic dystrophy biopsy
176,SI825V,"VULVA, HEMATOMA, EVACUATION > 5CM (COMPLICATED/MORE THAN 1)",2A,Existing,vulva hematoma evacuation 5cm complicatedmore 1
177,SI826V,"VULVA, HEMATOMA, EVACUATION <5CM (SIMPLE)",1A,Existing,vulva hematoma evacuation 5cm simple
178,SI827V,"VULVA, IMPERFORATE HYMEN, HYMENECTOMY",1B,Existing,vulva imperforate hymen hymenectomy
179,SI828V,"VULVA, LABIAL ABNORMALITY, LABIOPLASTY",1B,Existing,vulva labial abnormality labioplasty
180,SI829V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE >5CM (COMPLICATED/ MORE THAN 1)",1C,Existing,vulva laceration debridementsuture 5cm complicated 1
181,SI830V,"VULVA, LACERATION, DEBRIDEMENT/SUTURE <5CM (SIMPLE)",MSP,Existing,vulva laceration debridementsuture 5cm simple
182,SI831V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH GROIN DISSECTION AND WITH OR WITHOUT SKIN FLAP CLOSURE",6B,Existing,vulva malignant condition radical vulvectomy groin dissection without skin flap closure
183,SI832V,"VULVA, MALIGNANT CONDITION, RADICAL VULVECTOMY WITH SKIN FLAP CLOSURE",5A,Descriptor change,vulva malignant condition radical vulvectomy skin flap closure
184,SI833V,"VULVA, SEBACEOUS CYST/EPITHELIALCYST ETC, EXICISION",MSP,Existing,vulva sebaceous cystepithelialcyst etc exicision
185,SI834V,"VULVA, TIGHT INTROITUS, FENTON'S OPERATION",1C,Existing,vulva tight introitus fentons operation
186,SI835V,"VULVA, WARTS, LASER VAPORISATION",1B,Existing,vulva wart laser vaporisation
1,SJ700A,"ADRENAL, VARIOUS LESIONS, ADRENAL VENOUS SAMPLING",3B,Existing,adrenal various lesion adrenal venous sampling
2,SJ800A,"ADRENALS, VARIOUS LESIONS, BIOPSY/EXCISION",6B,Descriptor change,adrenal various lesion biopsyexcision
3,SJ701P,"PITUITARY, VARIOUS LESIONS, TRANSPHENOIDAL/TRANSEPTAL EXCISION WITH/WITHOUT GRAFTING",6B,Descriptor change,pituitary various lesion transphenoidaltranseptal excision withwithout grafting
4,SJ800P,"PARATHYROID, VARIOUS LESIONS, EXCISION",5C,Existing,parathyroid various lesion excision
5,SJ801P,"PARATHYROID, VARIOUS LESIONS, RE EXPLORATION",6B,Existing,parathyroid various lesion exploration
6,SJ700T,"THYROID, VARIOUS LESIONS, NEEDLE BIOPSY",MSP,Existing,thyroid various lesion needle biopsy
7,SJ701T,"THYROID, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS ASPIRATION/BIOPSY",1B,Existing,thyroid various lesion imaging guided percutaneous aspirationbiopsy
8,SJ702T,"THYROID, VARIOUS LESIONS, TOTAL THYROIDECTOMY, COMPLEX (RECURRENCE), WITH/WITHOUT STERNAL SPLIT",6A,Existing,thyroid various lesion total thyroidectomy complex recurrence withwithout sternal split
9,SJ703T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH NECK DISSECTION (BILATERAL)",6C,Existing,thyroid various lesion totalsubtotal thyroidectomy neck dissection bilateral
10,SJ704T,"THYROID, BENIGN, SINGLE/MULTIPLE NODULE, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION (ETHANOL, LASER MICROWAVE, RADIOFREQUENCY)13",3B,New,thyroid benign singlemultiple nodule imaging guided percutaneous local ablation ethanol laser microwave radiofrequency13
11,SJ800T,"THYROGLOSSAL DUCT, CYST FISTULA, EXCISION",3B,Existing,thyroglossal duct cyst fistula excision
12,SJ801T,"THYROID, TUMOR, EXCISION",3B,Existing,thyroid tumor excision
13,SJ802T,"THYROID, VARIOUS LESIONS, HEMITHYROIDECTOMY/PARTIAL THYROIDECTOMY",4A,Existing,thyroid various lesion hemithyroidectomypartial thyroidectomy
14,SJ803T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY",5C,Existing,thyroid various lesion totalsubtotal thyroidectomy
15,SJ804T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH NECK DISSECTION (UNILATERAL)",6A,Existing,thyroid various lesion totalsubtotal thyroidectomy neck dissection unilateral
1,SK700A,"ARTERY, CAROTICO-CAVERNOUS FISTULA, EMBOLISATION",6B,Existing,artery caroticocavernous fistula embolisation
2,SK701A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, BALLOON TEST OCCLUSION",3B,Existing,artery extracranial various lesion balloon test occlusion
3,SK702A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC EXTRACRANIAL ANGIOGRAPHY",3A,Existing,artery extracranial various lesion diagnostic extracranial angiography
4,SK703A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, INFUSION",3C,Existing,artery extracranial various lesion infusion
5,SK704A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery extracranial various lesion percutaneous transcatheter embolization
6,SK705A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY",4A,Existing,artery extracranial various lesion percutaneous transluminal angioplasty
7,SK706A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, STENTING",4B,Existing,artery extracranial various lesion stenting
8,SK707A,"ARTERY, INTRACRANIAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery intracranial aneurysmarteriovenous malformation embolisation
9,SK708A,"ARTERY, INTRACRANIAL, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS/THROMBECTOMY",6B,Existing,artery intracranial thrombosis percutaneous catheter directed thrombolysisthrombectomy
10,SK709A,"ARTERY, INTRACRANIAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery intracranial tumour percutaneous transcatheter embolization
11,SK710A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC CEREBRAL ANGIOGRAPHY",3A,Existing,artery intracranial various lesion diagnostic cerebral angiography
12,SK711A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY",6A,Existing,artery intracranial various lesion percutaneous transluminal angioplasty
13,SK712A,"ARTERY, INTRACRANIAL, VARIOUS LESIONS, STENTING",6B,Existing,artery intracranial various lesion stenting
14,SK713A,"ARTERY, SPINAL, ANEURYSM/ARTERIO-VENOUS MALFORMATION, EMBOLISATION",6B,Existing,artery spinal aneurysmarteriovenous malformation embolisation
15,SK714A,"ARTERY, SPINAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery spinal tumour percutaneous transcatheter embolization
16,SK715A,"ARTERY, SPINAL, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAPHY",3B,Existing,artery spinal various lesion diagnostic angiography
17,SK716A,"ARTERY-CAROTID, ANEURYSM-REPAIR/GRAFTING",7B,Existing,arterycarotid aneurysmrepairgrafting
18,SK717A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, COMPLEX",7A,Existing,arterycarotid arterioocclusive lesion external carotid internal carotid bypass complex
19,SK800A,"ARTERY, ARTERIO-VENOUS FISTULA, LIGATION",2A,Existing,artery arteriovenous fistula ligation
20,SK801A,"ARTERY-CAROTID, ARTERIO-OCCLUSIVE LESIONS, EXTERNAL CAROTID INTERNAL CAROTID BYPASS, SIMPLE",6B,Existing,arterycarotid arterioocclusive lesion external carotid internal carotid bypass simple
21,SK802A,"ARTERY-CAROTID, ATHEROSCLEROSIS, CAROTID ENDARTERECTOMY",6B,Existing,arterycarotid atherosclerosis carotid endarterectomy
22,SK803A,"ARTERY-CAROTID, CAROTID BODY TUMOR, EXCISION",6C,Existing,arterycarotid carotid body tumor excision
23,SK700B,"BRAIN, ACOUSTIC TUMOR/CEREBELLO-PONTINE ANGLE TUMOR, EXCISION, COMPLEX",7C,Existing,brain acoustic tumorcerebellopontine angle tumor excision complex
24,SK701B,"BRAIN, ANEURYSM/ARTERIO-VENOUS MALFORMATION, CLIPPING/EXCISION, COMPLEX",7A,Existing,brain aneurysmarteriovenous malformation clippingexcision complex
