S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
15,SF716A,"ANUS, ANO-RECTAL MALFORMATION (CLOACA/ABDOMINOPERINEAL)",6C,Existing,anus anorectal malformation cloacaabdominoperineal,-1.4670411,6.6457253
67,SL811E,"EYE, SQUINT, OPERATION (ONE/BOTH EYES - 3 MUSCLES OR MORE)",4A,Existing,eye squint operation oneboth eye 3 muscle,6.9283,8.283838
231,SF803M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA (UNILATERAL) REPAIR",4C,Existing,mouth angular cleft macrostomia unilateral repair,0.161678,8.497255
497,SB811T,"TENDON-EXTENSOR (UPPER LIMB), ADHESION, TENOLYSIS (SINGLE)",4A,Existing,tendonextensor upper limb adhesion tenolysis single,4.3531904,8.710464
32,SF809A,"ABDOMINAL CAVITY, VARIOUS LESIONS, INCLUDING COLOSTOMY/ENTEROSTOMY/GASTROSTOMY",4A,Descriptor change,abdominal cavity various lesion including colostomyenterostomygastrostomy,-3.0068612,6.889049
170,SD712V,"VEIN, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS, WITH OR WITHOUT ANGIOPLASTY/STENTING",4A,Existing,vein thrombosis percutaneous catheter directed thrombolysis without angioplastystenting,0.45949307,9.793014
24,SG803B,"BLADDER, CUTANEOUS FISTULA, CLOSURE",2C,Existing,bladder cutaneous fistula closure,-1.9069579,8.420269
42,SI812F,"FALLOPIAN TUBE, TUBO-OVARIAN/PELVIC ABSCESS, DRAINAGE (TRANSVAGINAL)",2C,New,fallopian tube tuboovarianpelvic abscess drainage transvaginal,0.7345393,15.106458
154,SA859S,"SKIN, BURNS (LESS THAN 2%), EXCISION",1B,Existing,skin burn le 2 excision,1.3923882,12.640689
22,SF723A,"APPENDIX, VARIOUS LESIONS/ABSCESS, APPENDICECTOMY WITH DRAINAGE",4A,Descriptor change,appendix various lesionsabscess appendicectomy drainage,-0.6649315,10.238784
141,SL707O,"ORBIT, VARIOUS LESIONS, OPTIC NERVE DECOMPRESSION (UNILATERAL)",5A,Existing,orbit various lesion optic nerve decompression unilateral,-1.2905058,13.637787
47,SB819B,"BONE AND JOINTS (UPPER LIMB), DEFORMITIES, OSTEOTOMIES AND FIXATION WITH OR WITHOUT FLUOROSCOPY/BONE GRAFT",5C,Existing,bone joint upper limb deformity osteotomy fixation without fluoroscopybone graft,-0.16874996,10.8968525
149,SM707T,"THROAT, PALATOPLASTY WITH/WITHOUT UVULOPLASTY, USING LASER OR OTHER MODALITIES",3A,Existing,throat palatoplasty withwithout uvuloplasty using laser modality,-0.71585,10.492558
34,SC708T,"THORAX, PERICARDIAL WINDOW CREATION",3C,Existing,thorax pericardial window creation,1.4817911,9.200399
381,SB839M,"MAXILLA, ALVEOLAR CLEFT (UNILATERAL INCOMPLETE), BONE GRAFT",4B,Existing,maxilla alveolar cleft unilateral incomplete bone graft,1.5582633,9.460336
36,SG815B,"BLADDER, VESICO-INTESTINAL FISTULA, CLOSURE",5C,Existing,bladder vesicointestinal fistula closure,-1.9457401,8.410333
504,SB818T,"TENDON-FLEXOR (UPPER LIMB), DEFECT, GRAFTING (SINGLE)",5C,Existing,tendonflexor upper limb defect grafting single,4.334895,8.754577
135,SF702E,"ESOPHAGUS, DIVERTICULUM, EXCISION",5B,Descriptor change,esophagus diverticulum excision,-0.5545944,8.1585245
218,SF707M,"MOUTH, PERIODONTIUM (WITHIN 2 QUADRANTS), SOFT TISSUE DEFECT/DEFORMITY, GINGIVOPLASTY",2A,Existing,mouth periodontium within 2 quadrant soft tissue defectdeformity gingivoplasty,-5.667933,9.2546
70,SD828A,"ARTERY-CAROTID, THROMBOSIS, ENDARTERECTOMY",5C,Existing,arterycarotid thrombosis endarterectomy,0.7015613,9.726711
70,SK801M,"MENINGES, MYELOMENINGOCELE, EXTENSIVE REPAIR WITH SKIN FLAPS/Z-PLASTY",6B,Existing,meninges myelomeningocele extensive repair skin flapszplasty,1.0564504,11.916926
183,SF701L,"LIVER TRANSPLANT, DONATION (LIVE DONOR)",6B,Existing,liver transplant donation live donor,-2.642158,7.750865
288,SB703K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MENISCAL REPAIR",5C,Existing,knee ligamentsmeniscuscartilagebone combined mi ligament reconstruction meniscal repair,2.693643,7.696407
60,SH803T,"TESTIS, UNDESCENDED/ECTOPIC, ORCHIDOPEXY WITH MICROVASCULAR ANASTOMOSIS",5C,Existing,testis undescendedectopic orchidopexy microvascular anastomosis,-0.45274007,9.3888
360,SB818M,"MANDIBLE, VARIOUS LESIONS, MANDIBULAR RAMUS/BODY  OSTECTOMY/OSTEOTOMY WITH SEGMENTAL OSTEOTOMY",6B,Existing,mandible various lesion mandibular ramusbody ostectomyosteotomy segmental osteotomy,2.1361666,9.44251
64,SF844A,"ANUS, THROMBOSED EXTERNAL HEMORRHOID, INCISION AND DRAINAGE",MSP,Existing,anus thrombosed external hemorrhoid incision drainage,-1.1944678,6.2062087
163,SL801R,"RETINA, DETACHMENT, RESECTION/BUCKLING OPERATION/REVISION OPERATION WITH SINGLE PLOMB",5C,Existing,retina detachment resectionbuckling operationrevision operation single plomb,-2.0834212,11.611834
42,SF819A,"ABDOMINAL WALL, INGUINAL/FEMORAL HERNIA, UNILATERAL HERNIORRHAPHY",3B,"Descriptor
change",abdominal wall inguinalfemoral hernia unilateral herniorrhaphy,-3.7887578,3.9663725
46,SC720T,"TRACHEA, ENDOTRACHEAL INTUBATION RAPID SEQUENCE INDUCTION",MSP,Existing,trachea endotracheal intubation rapid sequence induction,5.35564,9.723805
137,SI705V,"VAGINA, INTRA-EPITHELIAL NEOPLASIA COMPLETE/UPPER VAGINECTOMY",4B,Existing,vagina intraepithelial neoplasia completeupper vaginectomy,-2.7570262,10.328477
313,SB700L,"LOWER LIMB, OPEN TENDON RELEASE (INCLUDING OPEN SOFT TISSUE RELEASES E.G. GASTROCNEMIUS RECESSION)",4B,Existing,lower limb open tendon release including open soft tissue release eg gastrocnemius recession,3.2943387,10.346623
434,SB728S,"SPINE, VARIOUS LESIONS, ANTERIOR DECOMPRESSION, CORPECTOMY, DEBRIDEMENT, BIOPSY STABILISATION WITHOUT INSTRUMENTATION",6B,Existing,spine various lesion anterior decompression corpectomy debridement biopsy stabilisation without instrumentation,-2.6074202,5.3031573
187,SK808S,"SKULL, INTRACRANIAL HEMORRHAGE, BURR-HOLE CRANIOTOMY, BILATERAL",5A,Existing,skull intracranial hemorrhage burrhole craniotomy bilateral,-2.0288858,12.768646
27,SI703F,"FALLOPIAN TUBE, STERILIZATION, HYSTEROSCOPIC",2B,Existing,fallopian tube sterilization hysteroscopic,0.75417876,15.225549
186,SD800V,"VEIN (DISTAL EXTREMITY/DIGIT), VARIOUS LESIONS, MICROVASCULAR REPAIR",5C,Existing,vein distal extremitydigit various lesion microvascular repair,-0.13705626,9.486529
93,SK726N,"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (MULTIPLE)",5C,Existing,nerve upper limbmajor injury microsurgical repair multiple,4.564748,8.131276
339,SF800T,"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3C,Existing,teeth 2 3 impacted excision removal bone tooth division,-0.5063069,8.885592
73,SF853A,"ABDOMEN/PELVIS, VARIOUS LESIONS, REMOVAL OF PERITONEAL DIALYSIS CATHETER",2A,Existing,abdomenpelvis various lesion removal peritoneal dialysis catheter,-0.9095161,10.316725
35,SC709T,"THORAX, MIS DECORTICATION",5B,Existing,thorax mi decortication,1.5506771,9.076213
175,SL800Z,ORGAN PROCUREMENT COSTS: CORNEA16,2A,Existing,organ procurement cost cornea16,1.2016928,8.99361
117,SA821S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, DIRECT FLAP (CROSS FINGER/SIMILAR FLAPS)",4A,Existing,skin subcutaneous tissue defect direct flap cross fingersimilar flap,2.4700162,12.305168
63,SG721K,"KIDNEY, VARIOUS LESIONS, PARTIAL NEPHRECTOMY, OPEN",5C,Existing,kidney various lesion partial nephrectomy open,-1.9696873,9.124009
541,SB702W,"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, COMPLEX LIGAMENT RECONSTRUCTION",4B,Existing,wrist distal radial ulnar joint druj instability complex ligament reconstruction,2.6134067,8.271317
142,SL708O,"ORBITAL/SCLERAL, EVISCERATION WITH IMPLANT & SCLERAL BALL",4A,Existing,orbitalscleral evisceration implant scleral ball,0.088326246,10.275028
136,SK709S,"SACRUM, GANGLION IMPAR, BLOCK, ANAESTHETIC",3A,Existing,sacrum ganglion impar block anaesthetic,2.5093117,4.2517166
4,SF705A,"ABDOMEN, LAPAROTOMY, TRAUMA, DAMAGE CONTROL, HAEMOSTASIS, PACKING",5A,Existing,abdomen laparotomy trauma damage control haemostasis packing,1.0365995,9.615237
63,SH806T,"TESTIS, VARIOUS LESIONS, EXPLORATION/REPAIR",1C,Existing,testis various lesion explorationrepair,-0.97642744,9.348536
173,SI822V,"VULVA, BARTHOLIN CYST, EXCISION WITH/WITHOUT USE OF LASER",2B,Existing,vulva bartholin cyst excision withwithout use laser,-3.2033937,11.370176
4,SD703A,"AORTIC DISSECTION, ENDOVASCULAR STENT GRAFT REPAIR",5C,Existing,aortic dissection endovascular stent graft repair,1.523184,7.642853
120,SA824S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, FREE GRAFTS (SPLIT SKIN GRAFT/CULTURED EPITHELIAL AUTOGRAFTS 2 TO LESS THAN 5%)",3A,Descriptor change,skin subcutaneous tissue defect free graft split skin graftcultured epithelial autograft 2 le 5,2.0699775,12.57479
457,SB756S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (TWO OR MORE VERTEBRA)",7B,Existing,spine excluding cervical spine various lesion anterior corpectomy fusion withwithout instrumentation two vertebra,-2.7208037,5.1485543
118,SL709L,"LENS, SECTORIAL LASER PHOTOCOAGULATION",2C,Existing,lens sectorial laser photocoagulation,-1.8962233,11.783645
82,SL829E,"EYELIDS, FULL THICKNESS LACERATION, REPAIR",3A,Existing,eyelid full thickness laceration repair,-0.30841297,11.592341
98,SM715N,"NOSE, VARIOUS LESIONS, CAUTERISATION/DIATHERMY",1A,Existing,nose various lesion cauterisationdiathermy,-1.4091719,12.352676
436,SB731S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (SINGLE SEGMENT) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",6B,"Uptable, Descriptor
change,",spine excluding cervical spine various lesion interbody fusion single segment without anteriorposterior instrumentation,-2.7104876,5.1525736
170,SB713H,"HAND, CLOSED FRACTURE, ORIF (MULTIPLE), JOINT",5C,Existing,hand closed fracture orif multiple joint,2.0553966,10.838015
69,SB803C,"CERVICAL SPINE, VARIOUS LESIONS - ANTERIOR DECOMPRESSION AND FUSION OR DISC REPLACEMENT (1 SEGMENT)",6A,Existing,cervical spine various lesion anterior decompression fusion disc replacement 1 segment,-2.5154104,5.2966123
456,SB755S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, ANTERIOR CORPECTOMY AND FUSION WITH/WITHOUT INSTRUMENTATION (SINGLE VERTEBRAE)",7A,Existing,spine excluding cervical spine various lesion anterior corpectomy fusion withwithout instrumentation single vertebra,-2.6709661,5.1989026
137,SL703O,"ORBIT, VARIOUS LESIONS OF MID TO POSTERIOR ORBIT, EXCISION",5B,Existing,orbit various lesion mid posterior orbit excision,-1.3379761,13.614674
109,SD727H,"HEART, SYNCHRONISED CARDIOVERSION",1A,Existing,heart synchronised cardioversion,0.49853694,6.64575
67,SC816T,"TRACHEA, VARIOUS LESIONS, TRACHEA RECONSTRUCTION",5C,Existing,trachea various lesion trachea reconstruction,5.3571033,9.73511
40,SD739A,"AORTA, THORACOABDOMINAL AORTIC ANEURYSM, ENDOVASCULAR ANEURYSM REPAIR (EVAR)",7A,Existing,aorta thoracoabdominal aortic aneurysm endovascular aneurysm repair evar,1.7064776,7.432194
47,SA835B,"BREAST, TUMOR (MALIGNANT), NIPPLE/SKIN SPARING MASTECTOMY WITH AXILIARY CLEARANCE, WITH/WITHOUT SENTINEL NODE BIOPSY",5C,Existing,breast tumor malignant nippleskin sparing mastectomy axiliary clearance withwithout sentinel node biopsy,3.1660001,13.616271
296,SF804R,"RECTUM, STRICTURE, LASER TREATMENT",1C,Existing,rectum stricture laser treatment,-0.7704846,7.92853
57,SD815A,"ARTERY, ARTERIO-VENOUS FISTULA (LARGE), EXCISION",6B,Existing,artery arteriovenous fistula large excision,1.552338,6.4114475
165,SD707V,"VEIN, (SPIDER VEINS), INJECTION <3 HAND-SIZE AREA",MSP,Existing,vein spider vein injection 3 handsize area,-0.24696346,9.87059
50,SD808A,"ARTERY (LARGE), VARIOUS LESIONS, LIGATION",3A,Existing,artery large various lesion ligation,0.57291234,7.8201494
18,SC702L,"LUNG, MASSIVE HEMOPTYSIS, BRONCHIAL ARTERY EMBOLISATION",4B,Existing,lung massive hemoptysis bronchial artery embolisation,0.15480718,9.502442
142,SF803E,"ESOPHAGUS, STRICTURE, DILATATION (ENDOSCOPIC)",2B,Existing,esophagus stricture dilatation endoscopic,0.10544598,7.7878413
49,SF828A,"ANUS, ANO-RECTAL PROLAPSE, RADICAL OPERATION WITHOUT RESECTION",5C,Existing,anus anorectal prolapse radical operation without resection,-1.4071223,6.694291
5,SA705B,"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL)",4A,Descriptor Change,breast lump removal parenchymal flap closure unilateral,0.91749066,13.370971
31,SH819P,"PENIS, TUMOUR, AMPUTATION (PARTIAL)",3A,Existing,penis tumour amputation partial,-3.0026393,9.253609
45,SE803S,"SPLEEN, VARIOUS NON-TRAUMATIC LESIONS, SPLENECTOMY",4A,"Descriptor
change",spleen various nontraumatic lesion splenectomy,-0.1837216,8.577807
11,SD710A,"ARTERY,LARGE, INJURY, REPAIR WITH GRAFTING",5A,Existing,arterylarge injury repair grafting,4.453923,8.250603
482,SB707T,"TOES, VARIOUS LESIONS, RAY AMPUTATION (TWO TO FOUR RAYS)",2C,Existing,toe various lesion ray amputation two four ray,3.3149312,9.066576
78,SI715U,"UTERUS, MIS ABLATION OF ENDOMETRIOSIS (SIMPLE) (AS SINGLE PROCEDURE, NOT INVOLVING RECTUM, URETER)",3C,Existing,uterus mi ablation endometriosis simple single procedure involving rectum ureter,-0.4613495,9.651763
71,SF851A,"ABDOMINAL WALL, INGUINAL HERNIA (NEONATES), HERNIOTOMY (UNILATERAL)",3C,Existing,abdominal wall inguinal hernia neonate herniotomy unilateral,-3.766048,3.9864562
375,SB833M,"MAXILLA DEFORMITY, LE FORT II OSTEOTOMY AND INSERTION OF DISTRACTION OSTEOGENESIS DEVICE",6B,Existing,maxilla deformity le fort ii osteotomy insertion distraction osteogenesis device,2.3884761,6.7834673
51,SA814F,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA, >= 100CC",3B,Existing,fat transfer correction contourscongenital deformity reconstruction post ablative surgerytrauma 100cc,0.9088794,10.881711
27,SD726A,"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM USING MICROCATHETER, WITH OR WITHOUT INTRAVASCULAR IMAGING",3B,Existing,artery various lesion diagnostic angiogram using microcatheter without intravascular imaging,0.16293113,9.846124
144,SK719S,"SKULL, CRANIOSTENOSIS, OPERATION, CRANIOFACIAL RECONSTRUCTION",7A,Existing,skull craniostenosis operation craniofacial reconstruction,-1.6397941,11.004004
186,SI835V,"VULVA, WARTS, LASER VAPORISATION",1B,Existing,vulva wart laser vaporisation,-3.6770692,11.106042
7,SD706A,"ARTERIOVENOUS FISTULA, ANGIOGRAM",2A,Existing,arteriovenous fistula angiogram,1.5499182,6.407155
38,SF815A,"ABDOMINAL WALL, EXOMPHALOS/GASTROSCHISIS, OPERATING BY PLASTIC FLAP",5B,Existing,abdominal wall exomphalosgastroschisis operating plastic flap,-3.7683346,3.9918377
89,SF716B,"BOWELS, ENDOSCOPIC ULTRASOUND WITH COELIAC AXIS NEUROLYSIS",3A,Existing,bowel endoscopic ultrasound coeliac axis neurolysis,-0.554967,10.570754
68,SK704L,"SYMPATHETIC NERVES, BLOCK, NEUROLYTIC (UNILATERAL/BILATERAL)",2A,Existing,sympathetic nerve block neurolytic unilateralbilateral,2.917449,4.102189
145,SD826H,"HEART, VARIOUS LESIONS, ANEURYSMECTOMY AND/OR COMBINED VALVE REPLACEMENT AND/OR REPAIR AND CORONARY BYPASS GRAFTING",7B,Existing,heart various lesion aneurysmectomy andor combined valve replacement andor repair coronary bypass grafting,0.8659888,7.399066
200,SB811H,"HAND, FLEXOR TENDON INJURIES, INSERTION OF SILASTIC ROD(S)",5C,Existing,hand flexor tendon injury insertion silastic rod,2.4044287,10.940919
20,SA806B,"BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)",4A,Existing,breast gynecomastia reduction bilateral,0.81042254,13.390017
485,SB710T,"TOES, TOE DEFORMITY, MULTIPLE/COMPLEX",3B,Existing,toe toe deformity multiplecomplex,3.2510464,9.02343
36,SA822B,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY",3C,Existing,breast tumor malignant wide excision lumpectomysegmental mastectomy partial mastectomy,3.1320553,13.586253
21,SM807E,"EAR, DEFORMITY, CORRECTION (BILATERAL)",3C,Existing,ear deformity correction bilateral,-0.6002545,11.405282
325,SB812L,"LOWER LIMB, VARIOUS LESIONS, HIP DISARTICULATION",6B,Existing,lower limb various lesion hip disarticulation,3.5536413,9.126403
94,SD710H,"HEART, DEFIBRILLATION",MSP,Existing,heart defibrillation,0.5171049,6.6390634
3,SK702A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC EXTRACRANIAL ANGIOGRAPHY",3A,Existing,artery extracranial various lesion diagnostic extracranial angiography,0.38944626,9.149594
52,SK816B,"BRAIN, TUMOR, VENTRICULAR PUNCTURE THROUGH BURR-HOLE",4C,Existing,brain tumor ventricular puncture burrhole,-2.8386745,12.51828
338,SB710M,"MANDIBLE AND MAXILLA, OLD FRACTURES/OSTEOTOMY, REMOVAL OF PLATES OR WIRES",3B,Existing,mandible maxilla old fracturesosteotomy removal plate wire,1.8944043,9.641547
68,SI704U,"UTERUS, FOETOSCOPY",4A,Existing,uterus foetoscopy,-4.2216163,12.087312
97,SM714N,"NOSE, VARIOUS LESIONS (TURBINATES), TURBINECTOMY/TURBINOPLASTY/SUBMUCOUS RESECTION (WITH OR WITHOUT ENDOSCOPES)",2C,Existing,nose various lesion turbinate turbinectomyturbinoplastysubmucous resection without endoscope,-1.3653765,12.356745
46,SB818B,"BONE (UPPER LIMB), DEFORMITIES, CORRECTIVE SURGERY",4B,Existing,bone upper limb deformity corrective surgery,2.8660748,10.05952
29,SC703T,"THORAX, MEDIASTINUM, MEDIASTINOSCOPY WITH/WITHOUT BIOPSY",3B,Existing,thorax mediastinum mediastinoscopy withwithout biopsy,1.3791313,9.277375
332,SF703T,"TEETH (2 OR MORE) UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE",2B,Existing,teeth 2 uneruptedpartially eruptedimpacted surgical exposure,-0.5083525,8.945251
155,SA860S,"SKIN, BURNS (MORE THAN 10%), DRESSING",1B,Existing,skin burn 10 dressing,1.3495497,12.62118
49,SI800O,"OVARY, MALIGNANT TUMOR/CYST, TOTAL HYSTERECTOMY BILATERAL SALPINGO- OOPHORECTOMY WITH OMENTECTOMY, SURGICAL STAGING WITH/WITHOUT LYMPHADENECTOMY",5C,Existing,ovary malignant tumorcyst total hysterectomy bilateral salpingo oophorectomy omentectomy surgical staging withwithout lymphadenectomy,-1.6618462,9.388173
426,SB714S,"SHOULDER, VARIOUS LESIONS,  PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,shoulder various lesion primary total joint replacement augmentation requiring extra implant bone graft,3.993826,6.601249
54,SM701L,"LARYNX, TRANSCUTANEOUS INJECTION OF LARYNX",2B,Uptable,larynx transcutaneous injection larynx,-0.21762095,12.73594
269,SF714P,"PAROTID, TOTAL PAROTIDECTOMY, WITH/WITHOUT PRESERVATION OF FACIAL NERVE",6A,Existing,parotid total parotidectomy withwithout preservation facial nerve,-0.3400687,9.516401
370,SB828M,"MAXILLA, DEFORMITY - LEFORT II, OSTEOTOMY",6B,Existing,maxilla deformity lefort ii osteotomy,2.3869312,10.605153
121,SI835U,"UTERUS, PREGNANCY, CAESAREAN SECTION WITH HYSTERECTOMY",5C,Existing,uterus pregnancy caesarean section hysterectomy,-4.097024,11.656725
179,SI828V,"VULVA, LABIAL ABNORMALITY, LABIOPLASTY",1B,Existing,vulva labial abnormality labioplasty,-3.3068714,11.486816
27,SL808C,"CORNEA, LACERATION, CONJUNCTIVAL PERITOMY/REPAIR BY CONJUNCTIVAL FLAP",2C,Existing,cornea laceration conjunctival peritomyrepair conjunctival flap,-1.9854524,11.071888
128,SA832S,"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUPERFICIAL), REMOVAL",MSP,Existing,skin subcutaneous tissue foreign body superficial removal,5.110156,11.083547
131,SM713S,"SINUSES, NASAL, VARIOUS LESIONS, FRONTO- ETHMOIDECTOMY (RADICAL) WITH OSTEOPLASTIC FLAP",5C,Existing,sinus nasal various lesion fronto ethmoidectomy radical osteoplastic flap,4.4812365,12.267857
168,SK754S,"STELLATE GANGLION, BLOCK, ANAESTHETIC",1B,Existing,stellate ganglion block anaesthetic,2.516579,4.2503114
154,SD838H,"HEART, PERCUTANEOUS ABLATION OF ARRTHYMIA CIRCUITS OR FOCI OR ISOLATION PROCEDURE INVOLVING 1 OR MORE ATRIAL CHAMBERS AND REQUIRING COMPLEX ELECTROPHYSIOLOGICAL TECHNIQUES, WITH/WITHOUT 3D MAPPING PERFORMED ON THE SAME DAY",4C,Descriptor change,heart percutaneous ablation arrthymia circuit focus isolation procedure involving 1 atrial chamber requiring complex electrophysiological technique withwithout 3d mapping performed day,0.47155678,10.328589
191,SA896S,"SUBCUTANEOUS TISSUE, OBESITY, LIPECTOMY, EXCISION WITH UNDERMINING OF SKIN EDGES AND STRENGTHENING OF ABDOMINAL WALL/RADICAL ABDOMINOPLASTY WITH REPAIR OF ABDOMINAL WALL AND TRANSPOSITION OF UMBILICUS FOLLOWING WEIGHT LOSS SURGERY (SF702S/SF703S/SF713S/SF803S/SF804S)",5C,Existing,subcutaneous tissue obesity lipectomy excision undermining skin edge strengthening abdominal wallradical abdominoplasty repair abdominal wall transposition umbilicus following weight loss surgery sf702ssf703ssf713ssf803ssf804s,1.1047751,11.629263
62,SF842A,"ANUS, STRICTURE, DILATATION",1B,Existing,anus stricture dilatation,0.03982659,7.695088
166,SD708V,"VEIN, CATHETER BLOCKAGE, FIBRINSHEATH STRIPPING OR DISRUPTION",2A,Existing,vein catheter blockage fibrinsheath stripping disruption,-0.6236623,9.969294
500,SB814T,"TENDON-FLEXOR (LOWER LIMB), DISRUPTION, REPAIR (SINGLE)",2C,Existing,tendonflexor lower limb disruption repair single,3.906911,9.060295
407,SB800P,"PATELLA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION",3B,Existing,patella fracture open reduction internal fixation,1.5177244,5.158455
181,SA886S,"SKIN, WRINKLES, PARTIAL RHYTIDECTOMY5",5C,Descriptor change,skin wrinkle partial rhytidectomy5,-2.516206,10.036258
102,SB711F,"FINGER, DEFECT/CONTRACTURE (MULTIPLE), RECONSTRUCTION",4C,Existing,finger defectcontracture multiple reconstruction,1.4477608,10.500032
28,SE812L,"LYMPHATICS (FACE & NECK), CYSTIC HYGROMA, EXCISION (SMALL)",3A,Existing,lymphatics face neck cystic hygroma excision small,0.7278772,11.132014
14,SM800E,"EAR (MIDDLE), ABSCESS/INFLAMMATION, OPERATION",1B,Existing,ear middle abscessinflammation operation,-0.81399083,12.291533
37,SE821L,"LYMPHATICS, LYMPHEDEMA, LYMPHO- VENOUS/LYMPHATICO-VENULAR ANASTOMOSES, UNILATERAL(MICROSURGERY)",7C,Existing,lymphatics lymphedema lympho venouslymphaticovenular anastomosis unilateralmicrosurgery,0.7696429,10.749367
166,SF803G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTO- DUODENOSTOMY/CHOLECYSTO- GASTRECTOMY/CHOLECYSTO-JEJUNOSTOMY",4A,Existing,gallbladder various lesion cholecysto duodenostomycholecysto gastrectomycholecystojejunostomy,-4.266462,7.9323616
17,SA803B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)",4B,Existing,breast diffuse hypertrophy reduction 250g unilateral,0.8842551,13.398922
134,SM716S,"SINUSES, SPHENOIDAL, VARIOUS LESIONS, INTRANASAL OPERATION",5C,Existing,sinus sphenoidal various lesion intranasal operation,4.3971906,12.1926985
347,SB805M,"MANDIBLE, FRACTURE, CLOSED REDUCTION AND FIXATION",3B,Existing,mandible fracture closed reduction fixation,1.3570026,5.2360573
459,SB758S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6C,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 2 segment without instrumented fusion,-2.6508672,5.231799
94,SL843E,"EYELIDS, TUMOR, EXCISION AND REPAIR WITH FULL THICKNESS SKIN GRAFTING",3B,Existing,eyelid tumor excision repair full thickness skin grafting,-0.35757825,11.531336
121,SL802L,"LACRIMAL GLAND (PUNCTUM), VARIOUS LESIONS, SNIP OPERATION",2C,Existing,lacrimal gland punctum various lesion snip operation,-1.0996814,10.504406
70,SG729K,"KIDNEY, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION,  (RADIOFREQUENCY, MICROWAVE, CRYOTHERAPY, ETHANOL)",3C,Descriptor change,kidney tumour imaging guided percutaneous local ablation radiofrequency microwave cryotherapy ethanol,-1.7622962,15.862809
133,SD814H,"HEART, HEART BLOCK, REPLACEMENT OF TRANSVENOUS ELECTRODE",2C,Existing,heart heart block replacement transvenous electrode,0.4785911,6.5578556
42,SC716T,"THORAX, PLEURAL EFFUSION, ASPIRATION",1A,Existing,thorax pleural effusion aspiration,1.2056514,9.260657
26,SB711B,"BONE/ SOFT TISSUE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2B,Existing,bone soft tissue various lesion imaging guided percutaneous biopsy,-1.1991644,9.963736
36,SL705E,"EYE, GLAUCOMA DRAINAGE IMPLANTS EG. AHMED VALVE IMPLANT, MOLTENO IMPLANT , BAERVELDT TUBE SHUNT",5C,Existing,eye glaucoma drainage implant eg ahmed valve implant molteno implant baerveldt tube shunt,0.2046268,10.176106
162,SI811V,"VAGINA, PELVIC ABSCESS, COLPOTOMY AND DRAINAGE",2C,Existing,vagina pelvic abscess colpotomy drainage,0.6733035,14.483662
120,SM702S,"SINAL-NASAL, ENDOSCOPIC HEMOSTASIS (COMPLEX, UNDER GENERAL ANAESTHESIA)",3C,Existing,sinalnasal endoscopic hemostasis complex general anaesthesia,-1.7038121,10.492103
