S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y,Cluster
181,SA886S,"SKIN, WRINKLES, PARTIAL RHYTIDECTOMY5",5C,Descriptor change,skin wrinkle partial rhytidectomy5,-17.133385,14.745521,0
102,SB711F,"FINGER, DEFECT/CONTRACTURE (MULTIPLE), RECONSTRUCTION",4C,Existing,finger defectcontracture multiple reconstruction,-40.34907,6.0822678,0
28,SE812L,"LYMPHATICS (FACE & NECK), CYSTIC HYGROMA, EXCISION (SMALL)",3A,Existing,lymphatics face neck cystic hygroma excision small,5.8308015,40.995895,0
14,SM800E,"EAR (MIDDLE), ABSCESS/INFLAMMATION, OPERATION",1B,Existing,ear middle abscessinflammation operation,-21.006166,-15.292579,0
37,SE821L,"LYMPHATICS, LYMPHEDEMA, LYMPHO- VENOUS/LYMPHATICO-VENULAR ANASTOMOSES, UNILATERAL(MICROSURGERY)",7C,Existing,lymphatics lymphedema lympho venouslymphaticovenular anastomosis unilateralmicrosurgery,72.9862,17.339174,0
166,SF803G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTO- DUODENOSTOMY/CHOLECYSTO- GASTRECTOMY/CHOLECYSTO-JEJUNOSTOMY",4A,Existing,gallbladder various lesion cholecysto duodenostomycholecysto gastrectomycholecystojejunostomy,20.900227,4.428189,0
17,SA803B,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)",4B,Existing,breast diffuse hypertrophy reduction 250g unilateral,-1.302281,-14.660083,0
134,SM716S,"SINUSES, SPHENOIDAL, VARIOUS LESIONS, INTRANASAL OPERATION",5C,Existing,sinus sphenoidal various lesion intranasal operation,30.879425,-4.09883,0
347,SB805M,"MANDIBLE, FRACTURE, CLOSED REDUCTION AND FIXATION",3B,Existing,mandible fracture closed reduction fixation,-1.7040448,-45.81465,0
459,SB758S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (2 OR MORE SEGMENTS) WITHOUT INSTRUMENTED FUSION",6C,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 2 segment without instrumented fusion,61.54305,-13.857454,0
94,SL843E,"EYELIDS, TUMOR, EXCISION AND REPAIR WITH FULL THICKNESS SKIN GRAFTING",3B,Existing,eyelid tumor excision repair full thickness skin grafting,49.39806,51.38619,0
121,SL802L,"LACRIMAL GLAND (PUNCTUM), VARIOUS LESIONS, SNIP OPERATION",2C,Existing,lacrimal gland punctum various lesion snip operation,70.50256,-11.32679,0
70,SG729K,"KIDNEY, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION,  (RADIOFREQUENCY, MICROWAVE, CRYOTHERAPY, ETHANOL)",3C,Descriptor change,kidney tumour imaging guided percutaneous local ablation radiofrequency microwave cryotherapy ethanol,61.38167,9.081369,0
133,SD814H,"HEART, HEART BLOCK, REPLACEMENT OF TRANSVENOUS ELECTRODE",2C,Existing,heart heart block replacement transvenous electrode,-22.917278,-22.831553,0
42,SC716T,"THORAX, PLEURAL EFFUSION, ASPIRATION",1A,Existing,thorax pleural effusion aspiration,8.735175,25.752304,0
26,SB711B,"BONE/ SOFT TISSUE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2B,Existing,bone soft tissue various lesion imaging guided percutaneous biopsy,5.1839843,31.85068,0
36,SL705E,"EYE, GLAUCOMA DRAINAGE IMPLANTS EG. AHMED VALVE IMPLANT, MOLTENO IMPLANT , BAERVELDT TUBE SHUNT",5C,Existing,eye glaucoma drainage implant eg ahmed valve implant molteno implant baerveldt tube shunt,-22.229914,-5.5690804,0
162,SI811V,"VAGINA, PELVIC ABSCESS, COLPOTOMY AND DRAINAGE",2C,Existing,vagina pelvic abscess colpotomy drainage,10.656284,7.548444,0
120,SM702S,"SINAL-NASAL, ENDOSCOPIC HEMOSTASIS (COMPLEX, UNDER GENERAL ANAESTHESIA)",3C,Existing,sinalnasal endoscopic hemostasis complex general anaesthesia,15.8078165,56.131992,0
47,SL716E,"EYELID, PTOSIS, CONJUNCTIVAL MULLERECTOMY (BILATERAL)",4B,Existing,eyelid ptosis conjunctival mullerectomy bilateral,15.548459,-26.48345,0
56,SI810O,"OVARY, VARIOUS LESIONS, WEDGE RESECTION",3B,Existing,ovary various lesion wedge resection,-19.851334,-19.770359,0
13,SE712L,"LYMPH NODE, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY, SUPERFICIAL",1B,Existing,lymph node various lesion imaging guided percutaneous biopsy superficial,-33.452374,-45.479576,0
270,SB817J,"JOINTS (OTHER THAN FINGER), VARIOUS LESIONS, TOTAL JOINT REPLACEMENT",6A,Existing,joint finger various lesion total joint replacement,-25.812918,-22.726332,0
128,SD808H,"HEART, SIMPLE CONGENITAL OPEN-HEART SURGERY (ATRIAL SEPTAL DEFECT & VENTRICULAR SEPTAL DEFECT)",6B,Existing,heart simple congenital openheart surgery atrial septal defect ventricular septal defect,-58.134106,-5.9466786,0
130,SM712S,"SINUSES, NASAL, VARIOUS LESIONS, ANTROSTOMY (RADICAL)",3A,Existing,sinus nasal various lesion antrostomy radical,33.536697,-6.5066943,0
440,SB737S,"SPINE, PERCUTANEOUS DISC ABLATION, 2 OR MORE LEVELS (EG. IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4C,Existing,spine percutaneous disc ablation 2 level eg idet intradiscal electrothermal annuloplasty,36.80369,-59.14532,0
153,SL810O,"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH ALLOPLASTIC MATERIAL",4A,Existing,orbit various lesion reconstruction floorroof alloplastic material,-18.187695,4.2733364,0
141,SF802E,"ESOPHAGUS, BENIGN TUMOUR, RESECTION",5B,"Descriptor
change",esophagus benign tumour resection,-23.621265,44.63335,0
81,SF707B,"BILE DUCT/GALL BLADDER, ENDOSCOPIC DILATION OF BILIARY STRICTURE",3C,Existing,bile ductgall bladder endoscopic dilation biliary stricture,59.476402,-0.09004258,0
338,SF723T,"TONGUE, TRANSORAL RESECTION OF TONGUE BASE MUSCLE WITH OR WITHOUT LINGUAL TONSIL EXCISION",4C,Existing,tongue transoral resection tongue base muscle without lingual tonsil excision,28.082075,26.79515,0
103,SL853E,"EYELIDS, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP",5A,Existing,eyelid various lesion reconstruction using full thickness flap,51.31522,51.711567,0
93,SG705U,"URETHRA, SUBSTITUTION URETHROPLASTY, FLAP OR GRAFT",5C,Existing,urethra substitution urethroplasty flap graft,-11.508617,4.8227763,0
90,SM707N,"NOSE, POLYPI (COMPLEX), NASOENDOSCOPY WITH EXCISION BIOPSY, MORE THAN 2",2B,Existing,nose polypus complex nasoendoscopy excision biopsy 2,12.032754,-0.8751596,0
223,SF712M,"MOUTH, SUBMUCOSAL RESECTION, ENDOSCOPIC EXCISION WITH BIOPSY",4A,Existing,mouth submucosal resection endoscopic excision biopsy,-8.94556,7.447202,0
48,SM835E,"ENDOLYMPHATIC SAC, VARIOUS LESIONS, TRANSMASTOID SHUNT PROCEDURE",5C,Existing,endolymphatic sac various lesion transmastoid shunt procedure,23.071009,30.096422,0
39,SH827P,"PROSTATE GLAND, HYPERTROPHY, INSERTION OF PROSTATIC STENT",2C,Existing,prostate gland hypertrophy insertion prostatic stent,9.888397,-57.362545,0
161,SA866S,"SKIN, PLANTAR WART, EXCISION OR VAPORISATION BY LASER",1A,Existing,skin plantar wart excision vaporisation laser,16.881937,-57.120495,0
67,SI703U,"UTERUS, FETAL SURGERY",3B,Existing,uterus fetal surgery,7.332785,-1.979845,0
130,SD810H,"HEART, SIMPLE SINGLE-VESSEL PERCUTANEOUS CORONARY INTERVENTION (PCI), WITH/WITHOUT CORONARY ANGIOGRAPHY, WITH/WITHOUT PHYSIOLOGICAL AND/OR IMAGING STUDIES",4A,Descriptor change,heart simple singlevessel percutaneous coronary intervention pci withwithout coronary angiography withwithout physiological andor imaging study,42.688805,-33.512955,0
86,SM703N,"NOSE, FOREIGN BODY, REMOVAL",MSP,Existing,nose foreign body removal,14.863304,71.31251,0
51,SD809A,"ARTERY (MAJOR), ANEURYSM, EXCISION AND INSERTION OF GRAFT",5C,Existing,artery major aneurysm excision insertion graft,-22.604534,-49.998802,0
81,SK713N,"NERVE (LOWER LIMB), DISRUPTION, MAJOR RECONSTRUCTION WITH REPAIR AND/OR NEUROVASCULAR TRANSFER",6B,Existing,nerve lower limb disruption major reconstruction repair andor neurovascular transfer,-51.903255,-27.406576,0
46,SK810B,"BRAIN, INTRACEREBRAL TUMOR, BIOPSY AND/OR DECOMPRESSION/REMOVAL VIA CRANIOTOMY, SIMPLE",6B,Existing,brain intracerebral tumor biopsy andor decompressionremoval via craniotomy simple,38.593227,21.224026,0
99,SA803S,"SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR",3B,Existing,skin subcutaneous tissue earnoseeyelidface complex laceration repair,-25.179873,30.06103,0
19,SM805E,"EAR, CONGENITAL ATRESIA, RECONSTRUCTION OF EXTERNAL AUDITORY CANAL AND MIDDLE EAR",4B,Existing,ear congenital atresia reconstruction external auditory canal middle ear,-22.478964,-13.512432,0
54,SB826B,"BONE AND JOINTS (UPPER LIMB), REMOVAL OF SIMPLE IMPLANTS (E.G. RUSH RODS/WIRES/K- WIRES/PINS/SCREWS)",1C,Existing,bone joint upper limb removal simple implant eg rush rodswiresk wirespinsscrews,-43.95172,-1.7742186,0
104,SA808S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR",5A,Existing,skin subcutaneous tissue burn excision major flap repair,-2.1628027,14.906299,0
11,SG710B,"BLADDER, CYSTOSCOPY, WITH CONTROLLED HYDRODILATATION OF THE BLADDER",1B,Existing,bladder cystoscopy controlled hydrodilatation bladder,6.481325,50.474464,0
9,SG708B,"BLADDER, CYSTOSCOPY, EXTERNAL SPHINCTEROTOMY FOR NEUROGENIC BLADDER NECK OBSTRUCTION",2C,Existing,bladder cystoscopy external sphincterotomy neurogenic bladder neck obstruction,5.45342,50.529305,0
11,SI802C,"CERVIX, CERVICAL INCOMPETENCE, CERCLAGE",2B,Existing,cervix cervical incompetence cerclage,2.7011437,-21.118193,0
387,SB845M,"MUSCLE (LOWER LIMB), VARIOUS LESIONS, MARGINAL EXCISION",2A,Existing,muscle lower limb various lesion marginal excision,42.913773,-9.555336,0
428,SB716S,"SHOULDER, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,shoulder various lesion revision total joint replacement,-27.297619,-22.43644,0
59,SI813O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX BILATERAL ( BILATERAL CYSTS BOTH>5CM)",4C,New,ovary tumourcyst cystectomy complex bilateral bilateral cyst both5cm,-34.93832,-7.4249134,0
63,SL807E,"EYE, INTRAOCULAR FOREIGN BODY, REMOVAL FROM POSTERIOR SEGMENT",3B,Existing,eye intraocular foreign body removal posterior segment,18.594631,73.94345,0
204,SB815H,"HAND, POLYDACTYLY, AMPUTATION WITH RECONSTRUCTION",4A,Existing,hand polydactyly amputation reconstruction,-35.383266,2.1656225,0
77,SF703B,"BILE DUCTS, STRICTURE, PERCUTANEOUS TRANSHEPATIC BILIARY STENT PLACEMENT",3B,Existing,bile duct stricture percutaneous transhepatic biliary stent placement,59.412045,-0.15496191,0
45,SI700L,"LAPAROSCOPY, THERAPEUTIC, EXCEPT FOR RETRIEVAL AND PLACEMENT OF GAMETES AND PLACEMENT OF EMBRYOS",3C,Existing,laparoscopy therapeutic except retrieval placement gamete placement embryo,-27.164263,-3.1515014,0
18,SL709C,"CORNEA, SUPERFICIAL KERATECTOMY",2A,Existing,cornea superficial keratectomy,6.802031,10.7091255,0
32,SM818E,"EAR, MICROTIA, CREATION OF POST-AURICULAR SULCUS WITH SKIN GRAFT",3C,Existing,ear microtia creation postauricular sulcus skin graft,13.169963,36.66891,0
253,SB745J,"JOINT, VARIOUS LESIONS, JOINT ASPIRATION/ARTHROCENTESIS/INJECTION",1A,Existing,joint various lesion joint aspirationarthrocentesisinjection,-4.387067,1.4951205,0
250,SF822M,"MOUTH, TUMOR, RADICAL EXCISION BIOPSY WITH RESECTION OF MANDIBLE AND LYMPH NODES AND RECONSTRUCTION",7C,Existing,mouth tumor radical excision biopsy resection mandible lymph node reconstruction,-37.472347,-44.196507,0
11,SL702C,"CORNEA, ASTIGMATIC KERATOTOMY (WITH OR WITHOUT LIMBAL RELAXING INCISIONS / GRAFT REFRACTIVE SURGERY)",3A,Existing,cornea astigmatic keratotomy without limbal relaxing incision graft refractive surgery,-50.535534,27.779182,0
54,SD812A,"ARTERY (OTHERS), THROMBOSIS, ENDARTERECTOMY",4C,Existing,artery others thrombosis endarterectomy,-7.147558,-57.11996,0
128,SM710S,"SINUSES, NASAL, ORO-ANTRAL FISTULA, CLOSURE",3A,Existing,sinus nasal oroantral fistula closure,35.067017,-7.177116,0
424,SB712S,"SHOULDER, SHOULDER SOFT TISSUE INJURY, DECOMPRESSION WITH EXCISION OF DISTAL CLAVICLE",5A,"Descriptor
change",shoulder shoulder soft tissue injury decompression excision distal clavicle,-10.674061,-28.997091,0
150,SI720V,"VULVA/VAGINA, VARIOUS LESIONS, COLPOSCOPY AND LASER VAPORISATION",1B,Existing,vulvavagina various lesion colposcopy laser vaporisation,16.90505,-57.13984,0
63,SB700C,CALCANEUM FRACTURE EXTRA-ARTICULAR OPEN REDUCTION INTERNAL FIXATION,3C,Existing,calcaneum fracture extraarticular open reduction internal fixation,24.285143,38.937828,0
70,SH802V,"VAS DEFERENS, VARIOUS LESIONS, VARICOCELECTOMY (MICROSURGICAL)",3C,Existing,va deferens various lesion varicocelectomy microsurgical,63.529682,-35.297276,0
4,SG703B,"BLADDER, VARIOUS LESIONS, IMAGE GUIDED SUPRAPUBIC CYSTOSTOMY",1C,Existing,bladder various lesion image guided suprapubic cystostomy,-10.650524,11.854278,0
131,SK703S,"SPINE, FACET JOINT BLOCK (INJECTION OF ANAESTHETIC OR THERAPEUTIC SUBSTANCE), MORE THAN 3 JOINTS",2C,Existing,spine facet joint block injection anaesthetic therapeutic substance 3 joint,26.738657,-62.10316,0
165,SI814V,"VAGINA, PROLAPSE, OBLITERATION (COLPOCLEISIS)",3B,Existing,vagina prolapse obliteration colpocleisis,-19.54553,29.183443,0
441,SB738S,"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)",4A,Existing,spine percutaneous disc ablation single level eg idet intradiscal electrothermal annuloplasty,36.796726,-59.150032,0
80,SM803M,"MASTOID, VARIOUS LESIONS, MASTOIDECTOMY (RADICAL/MODIFIED) WITH MYRINGOPLASTY",5C,Existing,mastoid various lesion mastoidectomy radicalmodified myringoplasty,-5.3224125,45.8458,0
121,SK806N,"NERVE-FACIAL, VARIOUS LESIONS, COMBINED MIDDLE FOSA AND TRANSMASTOID FACIAL NERVE DECOMPRESSION",7C,Existing,nervefacial various lesion combined middle fosa transmastoid facial nerve decompression,15.55252,42.071693,0
289,SB704K,"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, MIS LIGAMENT RECONSTRUCTION WITH MENISCECTOMY",5C,Existing,knee ligamentsmeniscuscartilagebone combined mi ligament reconstruction meniscectomy,68.91078,-25.22833,0
5,SK704A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery extracranial various lesion percutaneous transcatheter embolization,39.15538,-16.072607,0
97,SI807U,"UTERUS, CONTRACEPTION, INTRAUTERINE CONTRACEPTIVE DEVICE INSERTION",MSP,Existing,uterus contraception intrauterine contraceptive device insertion,-10.228991,1.3924272,0
147,SA851S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (SHALLOW<3CM), EXCISION WITH/WITHOUT BIOPSY",1B,Existing,skin subcutaneous tissue sinus shallow3cm excision withwithout biopsy,27.45593,-3.5681462,0
100,SG801U,"URETER, CALCULUS, URETEROLITHOTOMY",4A,Existing,ureter calculus ureterolithotomy,-0.86175275,-31.618336,0
148,SK723S,"SPHENOPALATINE GANGLION - BLOCK, NEUROLYTIC",3C,Existing,sphenopalatine ganglion block neurolytic,28.709133,7.44915,0
292,SF800R,"RECTUM, FOREIGN BODY, MANUAL REMOVAL",MSP,Existing,rectum foreign body manual removal,15.441529,70.77208,0
101,SM718N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (AUGMENTATION EXCLUDING COST OF IMPLANTS)",3B,Existing,nose various lesion rhinoplasty augmentation excluding cost implant,17.61167,0.20235956,0
460,SB759S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, POSTERIOR DECOMPRESSION AND/OR DISCECTOMY WITH INSERTION OF INTERSPINOUS DEVICE (1 SEGMENT) WITHOUT INSTRUMENTED FUSION",6B,Existing,spine excluding cervical spine various lesion posterior decompression andor discectomy insertion interspinous device 1 segment without instrumented fusion,61.54305,-13.857454,0
157,SI806V,"VAGINA, FOREIGN BODY, REMOVAL",1A,Existing,vagina foreign body removal,14.828619,71.70626,0
187,SA892S,"SUBCUTANEOUS TISSUE (FACE), OBESITY, LIPOSUCTION",2C,Existing,subcutaneous tissue face obesity liposuction,36.105637,7.2999015,0
70,SF850A,"ABDOMINAL WALL, INGUINAL HERNIA (NEONATES), HERNIOTOMY (BILATERAL)",4C,Existing,abdominal wall inguinal hernia neonate herniotomy bilateral,46.34247,8.352783,0
409,SB802P,"PATELLA, VARIOUS LESIONS, PATELLECTOMY",3A,Existing,patella various lesion patellectomy,-2.367541,1.9207239,0
92,SK725N,"NERVE (UPPER LIMB), GUYON'S TUNNEL SYNDROME, RELEASE (UNILATERAL)",3A,Existing,nerve upper limb guyons tunnel syndrome release unilateral,22.31074,17.777555,0
198,SA905S,"SKIN, PRE-MALIGNANT LESIONS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC, SINGLE/MULTIPLE, WHERE UNDERTAKEN IN THE OPERATING THEATRE REQUIRING GENERAL ANAESTHESIA",1B,New,skin premalignant lesion excisionvaporisation laser ablative modality therapeutic singlemultiple undertaken operating theatre requiring general anaesthesia,11.670207,60.41029,0
94,SB703F,"FEMUR, FRACTURE (COMPLEX INTRA-ARTICULAR), OPEN REDUCTION AND INTERNAL FIXATION (ORIF) WITH PLATE AND SCREWS",5C,Existing,femur fracture complex intraarticular open reduction internal fixation orif plate screw,3.8528476,-47.294445,0
11,SC802B,"BRONCHUS/TRACHEA, VARIOUS LESIONS, LASER APPLICATION",4A,Existing,bronchustrachea various lesion laser application,-30.261787,-17.00992,0
201,SB812H,"HAND, FOREIGN BODY (DEEP), REMOVAL WITH MOBILISATION OF NEUROVASCULAR BUNDLE",3A,Existing,hand foreign body deep removal mobilisation neurovascular bundle,8.911698,72.096214,0
123,SA827S,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, LOCAL FLAP TO MULTIPLE DIGITS (CROSS FINGER/THENAR/FLAG/ROTATION FLAP)",5A,Existing,skin subcutaneous tissue defect local flap multiple digit cross fingerthenarflagrotation flap,-33.691654,29.514235,0
3,SB702A,"ANKLE, LIGAMENTOUS INSTABILITY, RECONSTRUCTION OF LIGAMENTS",5A,"Descriptor
change",ankle ligamentous instability reconstruction ligament,15.342473,10.361287,0
9,SD708A,"ARTERIOVENOUS FISTULA, LIGATION OF SIDE BRANCH",2A,Existing,arteriovenous fistula ligation side branch,26.02328,60.038876,0
5,SG704B,"BLADDER, URACHAL FISTULA, MIS  EXCISION",4A,Existing,bladder urachal fistula mi excision,-11.841067,13.977405,0
96,SI806U,"UTERUS, CONGENITAL ORGAN ABNORMALITY, PLASTIC REPAIR INCLUDING METROPLASTY",6A,Existing,uterus congenital organ abnormality plastic repair including metroplasty,-31.115961,53.85762,0
58,SI812O,"OVARY, TUMOUR/CYST, CYSTECTOMY, COMPLEX UNILATERAL OR SIMPLE BILATERAL ( SINGLE>5CM, BILATERAL CYST <5CM, ADHESIONS)",4A,New,ovary tumourcyst cystectomy complex unilateral simple bilateral single5cm bilateral cyst 5cm adhesion,-34.78034,-7.957395,0
70,SI706U,"UTERUS, ENDOMETRIAL ABLATION (BALLOON)",2B,Existing,uterus endometrial ablation balloon,-6.6938806,-13.960714,0
84,SM701N,"NOSE, CHOANAL ATRESIA, PLASTIC REPAIR",4A,Existing,nose choanal atresia plastic repair,-31.611704,50.668743,0
76,SF702B,"BILE DUCTS, STRICTURE, PERCUTANEOUS TRANSHEPATIC BALLOON DILATATION",3B,Existing,bile duct stricture percutaneous transhepatic balloon dilatation,18.36811,31.540495,0
24,SI700F,"FALLOPIAN TUBE, BLOCKED TUBE, FLUOROSCOPIC TRANSCERVICAL FALLOPIAN TUBAL RECANALISATION (FTR)",2C,Existing,fallopian tube blocked tube fluoroscopic transcervical fallopian tubal recanalisation ftr,37.623085,-23.847628,0
122,SI836U,"UTERUS, PREGNANCY, VAGINAL DELIVERY (WITH OR WITHOUT EPISIOTOMY REPAIR)",2B,Existing,uterus pregnancy vaginal delivery without episiotomy repair,-34.616688,-14.117226,0
28,SD727A,"ARTERY, VARIOUS LESIONS, ENDOVASCULAR STENT GRAFT / COVERED STENT PLACEMENT",3B,Existing,artery various lesion endovascular stent graft covered stent placement,30.684145,-20.921537,0
25,SH813P,"PENIS, SEX REASSIGNMENT (FEMALE TO MALE), IMPLANTATION OF PENILE PROSTHESIS",2B,Existing,penis sex reassignment female male implantation penile prosthesis,-60.25413,-35.3282,0
442,SB739S,"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS)",4C,Existing,spine vertebroplasty kyphoplasty multiple level,38.780197,42.45605,0
2,SA701B,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)",3A,Existing,breast ductal lesion microdochectomy bilateral,0.65343976,-14.048593,0
122,SL803L,"LACRIMAL GLAND, OBSTRUCTION, PROBING ONE/BOTH DUCTS",1B,Existing,lacrimal gland obstruction probing oneboth duct,70.32436,-11.139378,0
499,SB813T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (SINGLE)",2C,Existing,tendonextensor upper limb injury repair single,-30.44073,19.966799,0
72,SH804V,"VAS DEFERENS, VARIOUS LESIONS, VASOEPIDIDYMOGRAPHY & VASOVESICULOGRAPHY",1B,Existing,va deferens various lesion vasoepididymography vasovesiculography,62.58539,-35.51677,0
214,SF703M,"MOUTH, PERIODONTIUM (WITHIN 1 QUADRANT), PERIODONTITIS, OPEN FLAP DEBRIDEMENT",1B,Existing,mouth periodontium within 1 quadrant periodontitis open flap debridement,52.19209,-29.418488,0
102,SM719N,"NOSE, VARIOUS LESIONS, RHINOPLASTY (CORRECTION OF BONY VAULT ONLY)",4C,Existing,nose various lesion rhinoplasty correction bony vault,17.78337,1.0778241,0
86,SG814K,"KIDNEY, VARIOUS LESIONS, BIOPSY (OPEN)",3A,Existing,kidney various lesion biopsy open,4.7071066,6.9331746,0
15,SK714A,"ARTERY, SPINAL, TUMOUR, PERCUTANEOUS TRANSCATHETER EMBOLIZATION",4B,Existing,artery spinal tumour percutaneous transcatheter embolization,38.649868,-15.363345,0
59,SF839A,"ANUS, INCONTINENCE, OPERATION",4A,Existing,anus incontinence operation,-41.498573,51.856106,0
71,SM800L,"LABYRINTH, VARIOUS LESIONS, DESTRUCTION/LABYRINTHOTOMY",5C,Existing,labyrinth various lesion destructionlabyrinthotomy,-2.367541,1.9207239,0
67,SH810T,"TESTIS, VARIOUS LESIONS, ORCHIDOPLASTY",1C,Existing,testis various lesion orchidoplasty,36.134373,14.539789,0
160,SK737S,"SPINE, PERCUTANEOUS IMPLANT OF SPINAL CORD STIMULATOR, (TRIAL), SINGLE LEAD",3B,Existing,spine percutaneous implant spinal cord stimulator trial single lead,-69.44916,-21.789057,0
464,SB802S,"SHOULDER, VARIOUS LESIONS, HEMIARTHROPLASTY",5C,Existing,shoulder various lesion hemiarthroplasty,-11.21346,-25.464207,0
484,SB709T,"TOES, TOE DEFORMITY",1C,Existing,toe toe deformity,17.034533,-11.795219,0
180,SF804I,"INTESTINE, TOTAL AGANGLIONOSIS, RECONSTRUCTION",6B,Existing,intestine total aganglionosis reconstruction,16.357033,20.846107,0
118,SB732F,"FOOT, HALLUX VALGUS/HAMMER TOE, PROXIMAL OSTEOTOMY, WITH OR WITHOUT SOFT TISSUE RECONSTRUCTION",3C,Existing,foot hallux valgushammer toe proximal osteotomy without soft tissue reconstruction,-66.59157,13.393402,0
449,SB748S,"SPINE, INFECTION, POSTERIOR DRAINAGE AND DEBRIDEMENT WITHOUT FUSION OR OTHER PROCEDURES",3C,Existing,spine infection posterior drainage debridement without fusion procedure,48.969055,0.73104405,0
357,SF818T,"TOOTH (MULTIPLE-ROOTED OR MORE THAN 1 TOOTH), VARIOUS LESIONS, PERI-RADICULAR SURGERY",3A,Existing,tooth multiplerooted 1 tooth various lesion periradicular surgery,22.930288,1.1826915,0
45,SG702K,"KIDNEY, CYST, IMAGING GUIDED PERCUTANEOUS ALCOHOL ABLATION",2B,Existing,kidney cyst imaging guided percutaneous alcohol ablation,6.895159,30.209503,0
510,SB824T,"THUMB, PARALYSIS, OPPONENS PLASTY",4B,Existing,thumb paralysis opponens plasty,-4.3631296,3.3928883,0
205,SF810L,"LIVER, TRAUMA/TUMOR, HEPATIC ARTERY LIGATION",4B,Existing,liver traumatumor hepatic artery ligation,12.459976,48.094936,0
131,SI845U,"UTERUS, PREGNANCY AND MULTIPARITY, COMPLICATED CAESAREAN SECTION AND TUBAL LIGATION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED')",4C,Existing,uterus pregnancy multiparity complicated caesarean section tubal ligation see footnote definition complicated,22.422579,-17.557531,0
146,SD827H,"HEART, VARIOUS LESIONS, BALLOON ATRIAL SEPTOSTOMY",4A,Existing,heart various lesion balloon atrial septostomy,-6.853378,-14.143603,0
229,SF801M,"MOUTH, ABSCESS, (SUPERFICIAL), DRAINAGE",1A,Existing,mouth abscess superficial drainage,8.289369,9.556951,0
323,SF808S,"STOMACH, TUMOR/ULCER, GASTROJEJUNOSTOMY",4A,Existing,stomach tumorulcer gastrojejunostomy,-11.72585,-15.649706,0
331,SF702T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",2C,Existing,tooth uneruptedpartially eruptedimpacted surgical exposure bonding traction assisted eruption,29.595842,1.5520402,0
62,SG720K,"KIDNEY, VARIOUS LESIONS, PARTIAL NEPHRECTOMY, LAPARASCOPIC",6A,Existing,kidney various lesion partial nephrectomy laparascopic,66.2312,-46.284393,0
200,SK702V,"VEIN, INTRAVENOUS SYMPATHETIC, BIER’S BLOCK",1B,Existing,vein intravenous sympathetic bier block,0.25923863,4.0623283,0
95,SG707U,"URETER, VARIOUS LESIONS, PERCUTANEOUS ANTEGRADE INSERTION OF DOUBLE J STENT",2C,Existing,ureter various lesion percutaneous antegrade insertion double j stent,0.97027737,64.750656,0
26,SI702F,"FALLOPIAN TUBE, FALLOPOSCOPY",2B,Existing,fallopian tube falloposcopy,12.372604,5.180655,0
277,SF807P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY/ANASTOMOSIS OF PANCREATIC DUCT",5C,Existing,pancreas various lesion distal pancreatectomyanastomosis pancreatic duct,2.2538495,-60.78259,0
92,SM709N,"NOSE, POST-NASAL SPACE, LASER APPLICATION",4A,Existing,nose postnasal space laser application,-31.236465,-17.6751,0
